"V1","V2","V3","V4"
5.84319157930533,6.76896127819479,3.84968951094269,2.57045894105363
7.14809974189792,7.89133234613483,7.71392843315887,6.38997314133304
6.82788151492164,6.61733201746282,6.42552762096521,8.07605713375489
7.76537979829584,6.60004745815503,6.62488236577689,7.56806924045756
8.47781861314774,5.88329132406084,3.46816261401147,7.77819972617911
5.93170873718165,6.65733643731885,6.28165863341431,6.63602453677593
4.7041396753607,3.03831212041249,4.67154747129373,5.60971790048098
9.67630666461675,5.12455135472238,7.66374131175841,2.02561686938782
5.50005392773863,8.09771784613556,5.35061492967292,6.99825883131473
2.09933337983599,5.7189701437474,1.00536752738936,6.06255916570848
6.09625959523303,7.11754558621415,6.3709041883105,9.29880455893032
6.1902826345749,4.85643022634232,6.77702774658465,7.5886011710301
5.58763279546847,5.7968310688933,3.81456318826505,3.92530105689397
5.31170754915847,4.39303289578981,5.48068445839626,5.70105245794029
6.09373543922545,6.44373185264535,6.97602572218794,7.62993006237687
5.44720319135717,2.16130559333171,4.86780499458746,3.76014605293435
5.14180885663126,5.20319431141062,5.58560052076182,6.32310363671159
5.74403977564992,5.87289295391057,6.08501082796624,6.49924280317912
7.57483903601251,8.23578327023275,7.33736078463165,9.6923116830059
5.98086762628648,4.51635072826397,0.638954776364411,8.28672261614066
4.678413138663,4.90053736706481,3.25835075587054,5.78674658511937
6.2175398245907,7.48271209121381,5.72129852083659,6.81973843387387
4.42703660786369,4.29639312481068,6.18495641483786,5.30954629339228
2.06785658933782,4.19204140391044,5.34510477484208,6.25650223761274
4.3465489087823,4.43108825932375,3.45129900820393,3.2620909497787
5.15856531457803,4.71524534690898,2.64335693709375,7.20170425092205
7.49902825336446,6.03161136413107,4.46811624625448,7.07957502405985
5.18801466331874,4.67563438781065,3.74224141038247,6.40766487475473
4.4113146695615,6.76825718138408,4.77683782001253,4.69003544278536
6.27603375945829,7.78238159260452,9.09504744131542,6.51933633076528
3.9438930691021,3.26654021456461,5.18053601929921,7.29707453684876
4.65915800956952,7.46706823687066,7.17584408253067,5.42239279539625
6.85465387500146,7.61854219661252,8.0079412792699,7.86281284652945
6.32890792336277,4.85431278466179,5.66627359246615,6.00779634242263
5.4308865963554,5.47383840106336,7.41671737834783,5.79391148339454
7.91494019358424,6.08525714561965,5.52593916327721,5.51871010113193
8.00053315372105,7.64133912468662,5.80020966040705,8.48178446864329
7.8707853978868,6.89233831678398,7.10189770309398,5.63792945891478
4.83774699854037,6.26287476559584,6.74051297069836,4.67555712575852
7.56043063554389,5.2432566932093,7.19093525385057,7.61115912954464
7.12937113371991,8.21515976739619,6.80749283240926,5.05403006706809
6.46988057257866,8.72133570066146,7.08033873495006,6.48005288407138
7.79681530669313,8.86025729452551,8.97780404484748,5.93574596061924
7.13642996597973,7.87335135092277,8.47823211473733,7.50582191750567
